,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
403,75.98,154.26,3.23,46.99,650.0,18.87,1.59,3.49,31.18,0.6,0.59,182.0
404,85.33,223.57,6.7,59.41,1005.0,20.89,2.19,9.71,35.63,0.88,0.7,175.0
405,84.32,256.75,5.88,46.66,855.0,20.63,2.2,14.25,49.77,1.36,0.54,191.0
406,91.95,190.47,5.85,45.44,788.0,17.12,2.06,23.66,58.94,2.4,0.9,203.0
407,83.66,164.48,6.15,49.77,837.0,19.85,1.7,5.25,67.3,1.67,0.76,154.0
408,85.96,146.45,8.34,56.54,1089.0,17.34,1.69,4.73,63.27,1.21,0.56,160.0
409,62.08,113.87,20.4,43.41,1220.0,15.09,1.46,3.14,57.1,1.47,0.34,136.0
410,56.57,100.3,10.84,35.08,1100.0,40.86,1.73,4.27,37.83,1.19,0.41,107.0
411,42.58,108.68,9.51,23.5,554.0,27.19,1.51,3.45,31.32,0.68,0.37,88.0
412,49.6,145.32,9.96,24.34,575.0,24.05,1.66,4.46,25.02,0.94,0.34,105.0
414,44.26,146.23,10.47,26.16,622.0,25.75,1.51,3.9,42.53,1.22,0.35,117.0
415,53.12,116.89,9.46,30.94,697.0,29.92,1.47,3.2,36.37,0.98,0.46,113.0
416,57.32,107.54,10.18,34.98,812.0,29.87,1.45,2.88,49.63,1.16,0.5,115.0
417,90.07,127.67,7.72,32.23,675.0,29.34,1.57,3.26,38.32,1.01,0.45,145.0
418,134.69,142.12,4.88,32.14,599.0,30.6,1.12,2.99,42.23,1.08,0.47,177.0
419,110.05,100.07,11.92,38.67,811.0,28.79,0.94,4.85,59.43,0.89,0.58,198.0
420,66.98,100.6,9.08,37.3,805.0,27.07,0.73,6.91,64.9,0.89,0.54,165.0
421,51.96,102.39,10.53,28.51,680.0,24.1,0.94,5.29,37.26,0.51,0.48,124.0
422,36.28,98.29,12.77,41.88,881.0,5.47,0.81,3.09,30.33,0.45,0.2,88.0
423,35.63,115.9,12.59,47.36,744.0,4.09,0.79,3.52,29.08,0.67,0.27,88.0
424,41.64,144.04,11.73,30.64,725.0,3.83,1.01,3.16,39.28,0.74,0.3,105.0
425,39.21,154.64,42.33,42.55,1319.0,13.53,0.84,3.5,37.68,0.81,0.28,118.0
426,42.17,134.78,19.36,33.44,962.0,22.47,0.56,2.24,31.99,0.87,0.32,132.0
427,54.91,148.57,6.3,31.09,519.0,22.73,0.58,1.91,49.42,0.87,0.47,121.0
428,54.04,137.04,9.52,38.09,789.0,21.95,0.62,2.45,42.21,1.02,0.49,136.0
429,55.72,132.73,5.47,31.96,531.0,23.49,1.68,2.36,38.54,0.94,0.37,153.0
430,45.98,120.86,3.63,22.73,276.0,23.84,0.77,2.12,49.65,0.62,0.32,135.0
431,43.69,120.32,4.16,24.23,337.0,23.77,0.58,2.05,45.07,0.63,0.35,111.0
432,44.74,122.4,10.23,41.83,783.0,23.93,1.41,2.82,49.67,0.92,0.43,135.0
433,51.06,150.19,10.44,47.14,978.0,33.25,0.97,4.02,38.62,0.94,0.46,123.0
434,53.1,161.1,13.13,43.2,1114.0,31.23,1.51,3.14,35.52,0.96,0.55,146.0
435,60.7,173.24,13.82,36.11,1088.0,33.7,1.03,3.61,40.0,4.06,1.47,155.0
436,59.53,163.88,7.19,26.64,583.0,26.04,0.86,3.0,58.17,2.83,1.59,144.0
437,64.29,144.67,5.68,21.86,365.0,21.27,0.57,2.75,68.09,1.8,1.2,149.0
438,67.65,148.74,6.95,33.09,587.0,23.37,0.79,2.95,77.42,1.67,1.76,158.0
439,68.48,144.33,15.88,36.46,824.0,24.7,1.28,2.93,47.78,1.68,1.25,175.0
440,76.33,144.2,11.08,39.12,853.0,36.52,1.19,2.85,98.66,3.0,2.51,139.0
441,72.22,151.36,11.89,25.76,534.0,29.15,0.89,3.24,39.82,1.41,1.65,145.0
442,60.58,194.0,7.91,18.32,414.0,26.55,0.96,2.89,35.81,1.49,1.3,151.0
